r1,Процент одобрения,,,,,,,,,,,Динамика
r2,,ноябрь,Декабрь,Январь,Февраль,Март,Апрель,Май,Июнь,Июль,
r30,,19.7,19.3,18.8,17.7,17.9,17.8,18.2,18.2,17.6,,-0.6
r31,,200-249к,,,,,,200-249к,,,,0
r32,,12.4,14.3,14.1,12.0,12.2,12.5,13.4,13.6,12.4,,-1.2
r33,,250-500к,,,,,,250-500к,,,,0
r34,,23.0,26.6,25.4,24.8,28.5,26.0,26.9,26.8,27.2,,0.4
r35,,500+,,,,,,500+,,,,0
r36,,10.3,11.6,13.0,14.1,14.9,13.6,14.4,14.6,13.3,,-1.3
r37,Топ-10 сфер по отраслевой принадлежности заемщика,,,,,,,,,,,0
r38,,ноябрь,Декабрь,Январь,Февраль,Март,Апрель,Май,Июнь,Июль,,#VALUE!,,,
r39,Оптовая/Розничная торговля,,,,,Оптовая/Розничная торговля,,,,,,0,,,,
r40,,22.6,21.0,20.5,19.0,23.9,22.9,18.3,18.4,17.5,,-0.9,,,,
r41,IT-сфера,,,,,IT-сфера,,,,,,0,,,,
r42,,7.9,6.6,7.2,7.9,9.6,9.8,8.4,7.6,9.0,,1.4,,,,
r43,Строительство/производство стройматериалов,,,,,Строительство/производство стройматериалов,,,,,,0,,,,
r44,,9.2,9.5,9.7,8.1,10.3,8.6,8.5,8.0,7.2,,-0.8,,,,
r45,Наука и образование,,,,,Наука и образование,,,,,,0,,,,
r46,,5.7,6.0,5.5,6.1,7.6,8.0,5.7,5.7,5.8,,0.1,,,,
r47,Государственное управление,,,,,Государственное управление,,,,,,0,,,,
r48,,5.2,5.3,6.4,6.9,5.9,7.7,5.9,5.5,5.8,,0.3,,,,
r49,Здравоохранение,,,,,Здравоохранение,,,,,,0,,,,
r50,,5.0,5.1,5.0,5.2,6.2,7.3,5.0,5.0,5.7,,0.7,,,
r51,Легкая и пищевая промышленность,,,,,Легкая и пищевая промышленность,,,,,,0,,,
r52,,5.2,4.3,3.7,3.8,5.0,5.5,3.6,3.3,3.4,,0.1,,,
r53,"Авиа, Авто, Судо- и прочие машиностроения",,,,,"Авиа, Авто, Судо- и прочие машиностроения",,,,,,0,,
r54,,5.2,4.5,4.3,3.8,4.9,5.3,4.1,4.5,4.2,,-0.3
r55,Юридические услуги,,,,,Юридические услуги,,,,,,0
r56,,4.8,4.6,4.5,4.6,5.4,6.4,4.5,4.1,4.8,,0.7
r57,Банки/финансы/лизинг/Страхование,,,,,Банки/финансы/лизинг/Страхование,,,,,,0
r58,,3.9,4.3,4.3,5.6,6.2,6.0,6.4,4.9,4.9,,0
r59,,,,,,,,,,,,0
r60,Зависимость процента одобрения от размера первого взноса,,,,,,,,,,,0
r61,,ноябрь,Декабрь,Январь,Февраль,Март,Апрель,Май,Июнь,Июль,,#VALUE!
r62,,ПВ: 10-14%,,,,,,,,,,0
r63,,,,,,,,,,,,0
r64,,ПВ: 15-19%,,,,,,,,,,0
r65,,,,,,,,,,,,0
r66,,ПВ: 20-29%,,,,,,,,,,0
r67,,59.04,55.0,49.0,52.0,54.0,53.0,61.0,60.0,59.0,,-1
r68,,ПВ: 30-39%,,,,,,,,,,0
r69,,55.75,49.0,47.0,51.0,50.0,58.0,62.0,67.0,62.0,,-5
r70,,ПВ: 40-49%,,,,,,,,,,0
r71,,63.7,58.0,52.0,56.0,67.0,57.0,66.0,68.0,66.0,,-2
r72,,ПВ: 50+%,,,,,,,,,,0
r73,,69.33,63.0,63.0,63.0,65.0,67.0,72.0,72.0,71.0,,-1
r74,,,,,,,,,,,,0
r75,,,,,,,,,,,,0
r76,Тип ипотеки,,,,,,,,,,,0
r77,,ноябрь,Декабрь,Январь,Февраль,Март,,Май,Июнь,Июль,,#VALUE!
r78,Стандартная,Стандартная,Стандартная,Стандартная,,,,,,,,0
r79,,31.5,22.3,24.9,50.0,53.1,53.6,56.3,43.8,59.2,,15.4
r80,Господдержка,,,,,,,,,,,0
r81,,,,,,,,,,,,0
r82,Семейная,Семейная,Семейная,Семейная,,,,,,,,0
r83,,65.1,73.2,70.1,43.3,41.3,39.1,38.3,51.3,34.2,,-17.1
r84,IT-ипотека,IT-ипотека,IT-ипотека,IT-ипотека,,,,,,,,0
r85,,1.4,1.7,2.1,2.6,2.5,2.2,2.5,1.9,2.5,,0.6
r86,Военная,Военная,Военная,Военная,,,,,,,,0
r87,,0.7,0.8,1.2,1.7,1.1,1.8,1.5,1.4,2.0,,0.6
r88,Дальневосточная,Дальневосточная,Дальневосточная,Дальневосточная,,,,,,,,0
r89,,1.0,1.8,1.4,1.9,1.8,3.0,1.0,0.9,1.7,,0.8
r92,Топ-10 банков
r93,ноябрь,,,Январь,,,,Февраль,,,,,Март,,,Апрель,,,Май,,,Июнь,,,Июль
r94,Альфа-Банк,22.0,,Альфа-Банк,,15.403857547231913,,Альфа-Банк,,,15.802197802197801,,Альфа-Банк,21.7,,Альфа-Банк,21.9,,Альфа-Банк,17.5,,Альфа-Банк,18.1,,Альфа-Банк,16.5
r95,Совкомбанк,14.8,,Совкомбанк,,14.28477387927062,,ВТБ,,,15.758241758241759,,ВТБ,16.2,,ВТБ,14.8,,ВТБ,13.6,,ВТБ,12.8,,Банк ДОМ.РФ,12.0
r96,Банк «Санкт-Петербург»,8.7,,ВТБ,,10.683957606477518,,Совкомбанк,,,12.494505494505495,,Совкомбанк,11.2,,Совкомбанк,12.5,,Совкомбанк,13.5,,Совкомбанк,12.4,,ВТБ,11.8
r97,Банк ДОМ.РФ,8.0,,Банк «Санкт-Петербург»,,8.932920808373378,,Банк «Санкт-Петербург»,,,9.681318681318682,,Банк «Санкт-Петербург»,9.5,,Банк «Санкт-Петербург»,9.1,,Банк ДОМ.РФ,8.8,,Банк ДОМ.РФ,11.8,,Совкомбанк,11.2
r98,ВТБ,7.8,,Т-Банк,,8.182476466328747,,МКБ,,,7.417582417582418,,МКБ,7.3,,МКБ,7.5,,Банк «Санкт-Петербург»,8.2,,Банк «Санкт-Петербург»,7.6,,Банк «Санкт-Петербург»,9.2
r99,Абсолют Банк,6.5,,Банк ДОМ.РФ,,6.3721940622737145,,Банк ДОМ.РФ,,,5.120879120879121,,Уралсиб,4.7,,Уралсиб,4.6,,МКБ,7.4,,МКБ,5.4,,Уралсиб,5.0
r100,Т-Банк,5.8,,МКБ,,5.516424198538608,,Т-Банк,,,4.9120879120879115,,Т-Банк,4.6,,Т-Банк,4.6,,Уралсиб,4.4,,Уралсиб,5.1,,Т-Банк,4.8
r101,МКБ,5.6,,Абсолют Банк,,5.1543677177276015,,Уралсиб,,,4.1098901098901095,,Банк ДОМ.РФ,3.9,,Банк ДОМ.РФ,3.8,,Т-Банк,4.0,,Т-Банк,3.4,,МКБ,4.3
r102,Уралсиб,2.9,,Промсвязьбанк,,4.390757685471661,,Промсвязьбанк,,,4.032967032967033,,Абсолют Банк,3.0,,Промсвязьбанк,2.9,,Металлинвестбанк,3.5,,Банк Россия,2.9,,Банк Россия,2.9
r103,Промсвязьбанк,2.8,,Металлинвестбанк,,3.686393259166612,,Металлинвестбанк,,,3.4065934065934065,,Металлинвестбанк,2.9,,Абсолют Банк,2.7,,Промсвязьбанк,2.6,,Металлинвестбанк,2.9,,Металлинвестбанк,2.9
r104,Остальные,15.1,,Остальные,,17.39187677,,Остальные,,,17.26373626,,Остальные,15,,Остальные,15.6,,Остальные,16.5,,Остальные,17.6,,Остальные,19.4
r108,Субсидированные ипотеки
r109,ноябрь,0.305
r110,Декабрь,0.22
r111,Январь,0.25
r112,Февраль,0.19
r113,март,0.16
r114,апрель,0.16
r115,Май,0.18
r116,Июнь,0.18
r117,Июль,0.14
r118,,
r121,Ежемесячный платеж от категории доходов
r122,ноябрь,декабрь,Январь,Февраль,Март,Апрель,Май,Июнь,Июль
r123,1-49к,1-49к,1-49к
r124,35973.0,45423.0,35877.0,42251.0,35780.0,37312.0,37350.0,40570.0,36770.0
r125,50-99к,50-99к,50-99к
r126,35973.0,35973.0,35965.0,36407.0,35955.0,38244.0,37180.0,35970.0,35970.0
r127,100-149к,100-149к,100-149к
r128,39848.0,36731.0,36407.0,42968.0,45685.0,43281.0,42910.0,43760.0,46550.0
r129,150-199к,150-199к,150-199к
r130,48379.0,44780.0,43938.0,53656.0,52577.0,55001.0,56770.0,51110.0,52870.0
r131,200-249к,200-249к,200-249к
r132,54265.0,50570.0,52167.0,58348.0,65082.0,65108.0,68160.0,58960.0,59950.0
r133,250-500к,250-500к,250-500к
r134,64499.0,64670.0,64478.0,71946.0,72048.0,71946.0,71950.0,71900.0,71950.0
r135,500к+,500к+,500к+
r136,71946.0,72840.0,74784.0,135352.0,144796.0,159063.0,135930.0,111160.0,124950.0
r138,Рейтинг НБКИ,,пока не делаем
r139,,ноябрь,декабрь,Январь,Февраль,Март,,,,
r140,отличный (942 - 999),
r141,хороший (825 - 941),
r142,удовлетворительный (597 - 824),
r143,крайне плохой (1-596),14.5,16.9,15.3,18.0,17.0
r145,ТОП банков по проценту одобрения,
r146,ноябрь,,,Декабрь,,,,Январь,,,,,Февраль,,,Март,,,Апрель,,,Май,,,Июнь,,,Июль
r147,ВТБ,47.81,,Банк «Санкт-Петербург»,,0.47,,МКБ,,,0.47,,МКБ,0.44,,Банк «Санкт-Петербург»,0.42,,Банк «Санкт-Петербург»,0.45,,Банк ДОМ.РФ,0.51,,МКБ,0.52,,Банк «Санкт-Петербург»,0.48,
r148,Совкомбанк,46.55,,МКБ,,0.46,,Совкомбанк,,,0.39,,Промсвязьбанк,0.44,,МКБ,0.42,,МКБ,0.42,,Банк «Санкт-Петербург»,0.47,,Банк ДОМ.РФ,0.51,,Совкомбанк,0.47,
r149,Банк «Санкт-Петербург»,45.53,,Совкомбанк,,0.43,,ВТБ,,,0.38,,Совкомбанк,0.39,,ВТБ,0.4,,ВТБ,0.4,,МКБ,0.47,,Совкомбанк,0.45,,МКБ,0.42,
r150,МКБ,44.77,,Промсвязьбанк,,0.37,,Промсвязьбанк,,,0.36,,Банк «Санкт-Петербург»,0.39,,Совкомбанк,0.39,,Уралсиб,0.4,,Банк Россия,0.43,,ВТБ,0.42,,ВТБ,0.41,
r151,Промсвязьбанк,40.09,,Т-Банк,,0.34,,Т-Банк,,,0.33,,ВТБ,0.37,,Банк Россия,0.38,,Совкомбанк,0.38,,Совкомбанк,0.42,,Банк «Санкт-Петербург»,0.41,,Банк Россия,0.41,
r152,Т-Банк,39.52,,ВТБ,,0.32,,Газпромбанк,,,0.32,,Уралсиб,0.35,,Уралсиб,0.37,,Промсвязьбанк,0.38,,ВТБ,0.4,,Банк Россия,0.36,,Альфа-Банк,0.35,
r153,Альфа-Банк,35.9,,Абсолют Банк,,0.3,,Металлинвестбанк,,,0.26,,Т-Банк,0.27,,Промсвязьбанк,0.35,,Банк ДОМ.РФ,0.36,,Альфа-Банк,0.35,,Альфа-Банк,0.33,,Промсвязьбанк,0.34,
r154,Банк ДОМ.РФ,33.66,,Банк Россия,,0.3,,Азиатско-Тихоокеанский Банк,,,0.25,,Банк ДОМ.РФ,0.26,,Альфа-Банк,0.29,,Банк Россия,0.36,,Промсвязьбанк,0.32,,Промсвязьбанк,0.33,,Банк ДОМ.РФ,0.33,
r155,Газпромбанк,32.17,,Азиатско-Тихоокеанский Банк,,0.28,,Уралсиб,,,0.25,,Альфа-Банк,0.23,,Т-Банк,0.29,,Альфа-Банк,0.33,,Уралсиб,0.31,,ВБРР,0.31,,ВБРР,0.29,
r156,ВБРР,32.06,,УБРиР,,0.28,,Банк «Санкт-Петербург»,,,0.24,,СНГБ,0.23,,СНГБ,0.25,,Т-Банк,0.31,,Т-Банк,0.31,,Уралсиб,0.28,,Т-Банк,0.27,
r157,,,,,,,,,,,,,,
r159,Топ банков по скорости одобрения,
r160,ноябрь,,,Декабрь,,,,Январь,,,,,Февраль,,,Март,,,Апрель,,,Май,,,Июнь,,,Июль
r161,Т-Банк,0.46,,Т-Банк,,0.44,,Т-Банк,,,0.48,,ВТБ,0.54,,ВТБ,0.51,,ВТБ,0.5,,ВТБ,0.52,,ВТБ,0.52,,ВТБ,0.55,
r162,Альфа-Банк,0.65,,Альфа-Банк,,0.5,,Альфа-Банк,,,0.5,,Т-Банк,0.57,,Т-Банк,0.61,,Альфа-Банк,0.67,,Альфа-Банк,0.63,,Альфа-Банк,0.66,,Альфа-Банк,0.6,
r163,Банк ДОМ.РФ,1.25,,ВТБ,,0.53,,ВТБ,,,0.5,,Альфа-Банк,0.69,,Альфа-Банк,0.75,,Т-Банк,0.8,,Т-Банк,1.24,,Т-Банк,1.08,,Банк ДОМ.РФ,1.45,
r164,ВТБ,2.96,,Россельхозбанк,,1.5,,Газпромбанк,,,1.8,,Банк ДОМ.РФ,1.96,,Банк ДОМ.РФ,4.42,,Банк ДОМ.РФ,2.96,,Банк ДОМ.РФ,2.47,,Банк ДОМ.РФ,1.25,,Т-Банк,1.59,
r165,Газпромбанк,13.99,,Газпромбанк,,2.44,,УБРиР,,,3.06,,Совкомбанк,3.84,,МКБ,15.73,,Совкомбанк,15.66,,Абсолют Банк,14.87,,Совкомбанк,16.35,,МКБ,1.69,
r166,Совкомбанк,20.82,,Совкомбанк,,3.23,,МКБ,,,3.16,,МКБ,5.8,,Совкомбанк,16.89,,Банк «Санкт-Петербург»,16.87,,Банк «Санкт-Петербург»,15.05,,Промсвязьбанк,18.15,,Совкомбанк,13.7,
r167,УБРиР,23.56,,Банк ДОМ.РФ,,4.12,,Совкомбанк,,,3.42,,Промсвязьбанк,19.66,,Промсвязьбанк,17.5,,Абсолют Банк,16.97,,Совкомбанк,18.0,,Банк «Санкт-Петербург»,18.78,,Промсвязьбанк,18.21,
r168,МКБ,40.29,,УБРиР,,12.93,,Банк ДОМ.РФ,,,4.14,,Металлинвестбанк,21.94,,Банк «Санкт-Петербург»,21.29,,МКБ,17.61,,Банк Россия,19.89,,Абсолют Банк,19.43,,Банк Россия,19.25,
r169,Промсвязьбанк,40.66,,МКБ,,15.2,,Уралсиб,,,14.26,,Банк «Санкт-Петербург»,23.36,,Металлинвестбанк,23.89,,Промсвязьбанк,19.08,,Азиатско-Тихоокеанский Банк,20.17,,МКБ,19.51,,Уралсиб,24.27,
r170,Абсолют Банк,43.94,,Уралсиб,,16.72,,Азиатско-Тихоокеанский Банк,,,17.83,,Абсолют Банк,25.45,,Абсолют Банк,25.95,,Банк Россия,23.42,,Промсвязьбанк,20.78,,Банк Россия,23.52,,Банк «Санкт-Петербург»,24.37,
r171,,,,,,,,,,,,,,,,,,,,
r172,,,,,,,,,,,,,,,,,,,,
r173,Топ банков по скорости реакции,,,,,,,,,,,,,,,,,,,,,,,,
r174,ноябрь,,,Декабрь,,,,Январь,,,,,Февраль,,,Март,,,Апрель,,,Май,,,Июнь,,,Июль
r175,Т-Банк,0.4,,Т-Банк,,0.44,,Т-Банк,,,0.48,,Альфа-Банк,0.5,,Т-Банк,0.49,,ВТБ,0.5,,Альфа-Банк,0.51,,ВТБ,0.52,,ВТБ,0.52,
r176,Альфа-Банк,0.55,,Альфа-Банк,,0.5,,Альфа-Банк,,,0.5,,Т-Банк,0.5,,ВТБ,0.5,,Альфа-Банк,0.51,,ВТБ,0.51,,Альфа-Банк,0.54,,Альфа-Банк,0.53,
r177,ВТБ,0.79,,ВТБ,,0.53,,ВТБ,,,0.5,,ВТБ,0.53,,Альфа-Банк,0.52,,Т-Банк,0.69,,Т-Банк,1.18,,Т-Банк,1.17,,МКБ,1.45,
r178,Россельхозбанк,1.82,,Россельхозбанк,,1.5,,Газпромбанк,,,1.8,,Совкомбанк,2.07,,Промсвязьбанк,2.7,,Абсолют Банк,2.61,,Абсолют Банк,2.2,,Промсвязьбанк,2.37,,Т-Банк,1.46,
r179,Газпромбанк,2.56,,Газпромбанк,,2.44,,УБРиР,,,3.06,,МКБ,2.41,,МКБ,2.95,,Совкомбанк,3.17,,Банк ДОМ.РФ,2.83,,Банк ДОМ.РФ,2.79,,Абсолют Банк,1.97,
r180,Банк ДОМ.РФ,3.86,,Совкомбанк,,3.23,,МКБ,,,3.16,,Банк ДОМ.РФ,3.02,,Совкомбанк,3.14,,Банк ДОМ.РФ,4.09,,Промсвязьбанк,3.26,,Совкомбанк,3.91,,Банк ДОМ.РФ,2.61,
r181,УБРиР,10.65,,Банк ДОМ.РФ,,4.12,,Совкомбанк,,,3.42,,Промсвязьбанк,4.91,,Абсолют Банк,4.02,,Промсвязьбанк,4.19,,Совкомбанк,3.58,,Абсолют Банк,7.19,,Совкомбанк,3.19,
r182,Примсоцбанк,16.09,,УБРиР,,12.93,,Банк ДОМ.РФ,,,4.14,,Абсолют Банк,13.69,,Банк ДОМ.РФ,4.15,,Металлинвестбанк,4.55,,Банк «Санкт-Петербург»,3.69,,МКБ,8.97,,Промсвязьбанк,4.07,
r183,Совкомбанк,16.74,,МКБ,,15.2,,Уралсиб,,,14.26,,Азиатско-Тихоокеанский Банк,13.93,,Азиатско-Тихоокеанский Банк,14.1,,Банк «Санкт-Петербург»,5.58,,Азиатско-Тихоокеанский Банк,4.07,,Банк «Санкт-Петербург»,15.38,,Уралсиб,5.39,
r184,Металлинвестбанк,20.72,,Уралсиб,,16.72,,Азиатско-Тихоокеанский Банк,,,17.83,,Уралсиб,15.11,,Металлинвестбанк,16.24,,МКБ,6.24,,Банк Россия,5.3,,Азиатско-Тихоокеанский Банк,15.83,,Азиатско-Тихоокеанский Банк,15.2,
r187,Воронка заявок
r188,,Январь,,Февраль,,,,,,,,Март,,,,Апрель,,,,Май,,,,Июнь,,,,Июль
r189,1. Создана,1.0,,100.0,,,,,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0
r190,2. Заполнение анкеты,79.8,,79.1,,20.9,,,,,,81.3,18.7,2.2,,84.2,15.8,2.9,,87.9,12.1,3.7,,86.4,13.6,-1.5,,85.9,14.1,-0.5
r191,3. Анкета валидирована,63.4,,60.2,,18.9,,,,,,62.2,19.1,2,,67.2,17,5,,73.9,14,6.7,,70.3,16.1,-3.6,,69.7,16.2,-0.6
r192,4. Отправлена в банк,51.9,,49.4,,10.8,,,,,,52.2,10,2.8,,56.4,10.8,4.2,,66.3,7.6,9.9,,61.1,9.2,-5.2,,59.5,10.2,-1.6
r193,5. Одобрена,29.4,,28.4,,21,,,,,,31.4,20.8,3,,34.4,22,3,,45.1,21.2,10.7,,41.3,19.8,-3.8,,38.9,20.6,-2.4
r196,Доля клиентов в зоне риска по результатам прескоринга,,,Июль
r197,Требуется дополнительная проверка,12.4,6.2,4.7
r198,Предварительный отказ,5.4,5.9,5.8
r200,Доля клиентов с риском отказа,17.8,12.1,10.5
